ParticipantID,Health_Status,SPEAKER_ID,Long_term_attractiveness,Short_term_attractiveness
59,1,1,9,9
59,1,2,9,9
59,1,3,9,9
59,1,4,9,9
59,1,5,9,9
59,1,6,9,9
59,1,7,9,9
59,1,8,9,9
59,1,9,9,9
59,1,10,9,9
59,0,11,9,9
59,0,12,9,9
59,0,13,9,9
59,0,14,9,9
59,0,15,9,9
59,0,16,9,9
59,0,17,9,9
59,0,18,9,9
59,0,19,9,9
59,0,20,9,9
87,1,1,1,1
87,1,2,1,1
87,1,3,4,1
87,1,4,7,1
87,1,5,6,1
87,1,6,4,1
87,1,7,3,1
87,1,8,3,1
87,1,9,1,1
87,1,10,1,1
87,0,11,5,1
87,0,12,1,1
87,0,13,6,1
87,0,14,7,1
87,0,15,1,1
87,0,16,6,1
87,0,17,7,1
87,0,18,6,1
87,0,19,4,1
87,0,20,1,1
10,1,1,1,1
10,1,2,1,1
10,1,3,1,1
10,1,4,1,1
10,1,5,7,5
10,1,6,7,7
10,1,7,1,1
10,1,8,7,5
10,1,9,1,1
10,1,10,1,1
10,0,11,7,1
10,0,12,1,1
10,0,13,7,5
10,0,14,1,1
10,0,15,4,5
10,0,16,7,6
10,0,17,7,7
10,0,18,1,1
10,0,19,7,1
10,0,20,9,1
28,1,1,4,5
28,1,2,7,9
28,1,3,9,5
28,1,4,7,1
28,1,5,8,9
28,1,6,2,9
28,1,7,9,9
28,1,8,9,9
28,1,9,9,9
28,1,10,9,9
28,0,11,3,9
28,0,12,5,9
28,0,13,4,5
28,0,14,1,9
28,0,15,1,1
28,0,16,6,9
28,0,17,1,1
28,0,18,5,4
28,0,19,9,5
28,0,20,4,9
76,1,1,6,3
76,1,2,6,3
76,1,3,5,2
76,1,4,6,3
76,1,5,5,3
76,1,6,5,2
76,1,7,7,3
76,1,8,3,1
76,1,9,3,1
76,1,10,6,2
76,0,11,5,3
76,0,12,4,1
76,0,13,6,3
76,0,14,5,3
76,0,15,5,2
76,0,16,6,2
76,0,17,4,1
76,0,18,5,2
