ParticipantID,Health_Status,SPEAKER_ID,Physical_Domaince,Social_Dmanice
126,1,1,2,3
126,1,2,9,9
126,1,3,3,7
126,1,4,4,1
126,1,5,9,5
126,1,6,8,9
126,1,7,9,6
126,1,8,7,1
126,1,9,6,9
126,1,10,8,7
126,0,11,6,1
126,0,12,8,9
126,0,13,9,4
126,0,14,3,9
126,0,15,1,7
126,0,16,9,7
126,0,17,5,7
126,0,18,7,2
126,0,19,2,4
126,0,20,7,1
31,1,1,3,6
31,1,2,3,4
31,1,3,3,7
31,1,4,3,4
31,1,5,7,9
31,1,6,1,9
31,1,7,9,9
31,1,8,9,8
31,1,9,9,9
31,1,10,9,9
31,0,11,2,8
31,0,12,3,4
31,0,13,2,3
31,0,14,4,1
31,0,15,1,2
31,0,16,5,6
31,0,17,1,3
31,0,18,7,5
31,0,19,1,2
31,0,20,7,8
43,1,1,3,5
43,1,2,1,8
43,1,3,7,5
43,1,4,6,7
43,1,5,5,5
43,1,6,1,5
43,1,7,3,8
43,1,8,2,5
43,1,9,4,4
43,1,10,5,8
43,0,11,6,2
43,0,12,1,2
43,0,13,4,7
43,0,14,7,8
43,0,15,3,9
43,0,16,3,5
43,0,17,6,4
43,0,18,4,2
43,0,19,6,1
43,0,20,4,3
20,1,1,4,6
20,1,2,9,2
20,1,3,8,3
20,1,4,8,3
20,1,5,3,4
20,1,6,7,3
20,1,7,7,4
20,1,8,5,9
20,1,9,4,8
20,1,10,5,6
20,0,11,2,8
20,0,12,7,5
20,0,13,1,8
20,0,14,2,6
20,0,15,3,7
20,0,16,5,3
20,0,17,7,8
20,0,18,7,4
20,0,19,7,6
20,0,20,6,6
63,1,1,6,8
63,1,2,6,4
63,1,3,5,6
63,1,4,7,8
63,1,5,8,6
63,1,6,5,6
63,1,7,9,6
63,1,8,6,6
63,1,9,9,6
63,1,10,8,6
63,0,11,4,4
63,0,12,8,4
63,0,13,5,5
63,0,14,6,7
63,0,15,2,4
63,0,16,7,3
63,0,17,5,4
63,0,18,7,7
63,0,19,7,6
63,0,20,7,4
35,1,1,5,2
35,1,2,4,1
35,1,3,2,2
35,1,4,3,3
35,1,5,6,9
35,1,6,6,8
35,1,7,6,3
35,1,8,7,5
35,1,9,8,5
35,1,10,6,2
35,0,11,5,7
35,0,12,5,1
35,0,13,7,3
35,0,14,3,8
35,0,15,1,1
35,0,16,4,8
35,0,17,3,5
35,0,18,7,6
35,0,19,1,7
35,0,20,7,8
105,1,1,6,7
105,1,2,8,8
105,1,3,6,7
105,1,4,5,7
105,1,5,7,7
105,1,6,4,3
105,1,7,5,2
105,1,8,2,1
105,1,9,7,6
105,1,10,5,3
105,0,11,7,7
105,0,12,5,3
105,0,13,7,7
105,0,14,5,5
105,0,15,2,5
105,0,16,5,7
105,0,17,5,3
105,0,18,4,4
105,0,19,2,7
105,0,20,2,4
32,1,1,6,5
32,1,2,7,3
32,1,3,7,5
32,1,4,7,6
32,1,5,6,4
32,1,6,8,8
32,1,7,8,8
32,1,8,3,5
32,1,9,5,7
32,1,10,4,6
32,0,11,5,6
32,0,12,2,2
32,0,13,8,6
32,0,14,6,5
32,0,15,5,3
32,0,16,5,4
32,0,17,5,7
32,0,18,3,4
32,0,19,7,4
32,0,20,5,2
72,1,1,7,7
72,1,2,6,5
72,1,3,6,4
72,1,4,6,4
72,1,5,6,7
72,1,6,5,4
72,1,7,8,8
72,1,8,4,6
72,1,9,7,8
72,1,10,7,8
72,0,11,5,6
72,0,12,4,4
72,0,13,7,3
72,0,14,6,7
72,0,15,4,3
72,0,16,5,4
72,0,17,5,6
72,0,18,5,7
72,0,19,3,3
72,0,20,6,8
8,1,1,2,7
8,1,2,6,7
8,1,3,7,3
8,1,4,7,8
8,1,5,7,4
8,1,6,8,7
8,1,7,4,7
8,1,8,7,4
8,1,9,5,7
8,1,10,6,7
8,0,11,7,7
8,0,12,4,6
8,0,13,2,4
8,0,14,7,7
8,0,15,4,6
8,0,16,6,3
8,0,17,3,7
8,0,18,5,4
8,0,19,7,7
8,0,20,5,7
50,1,1,2,9
50,1,2,9,8
50,1,3,9,5
50,1,4,8,9
50,1,5,7,9
50,1,6,5,3
50,1,7,6,7
50,1,8,1,1
50,1,9,9,5
50,1,10,3,4
50,0,11,8,4
50,0,12,1,1
50,0,13,7,9
50,0,14,7,5
50,0,15,2,1
50,0,16,7,6
50,0,17,5,6
50,0,18,7,7
50,0,19,5,5
50,0,20,1,2
60,1,1,3,3
60,1,2,4,6
60,1,3,3,6
60,1,4,3,5
60,1,5,4,2
60,1,6,8,7
60,1,7,7,6
60,1,8,8,7
60,1,9,8,8
60,1,10,8,8
60,0,11,7,2
60,0,12,2,2
60,0,13,7,3
60,0,14,8,7
60,0,15,3,3
60,0,16,4,3
60,0,17,8,8
60,0,18,6,3
60,0,19,6,5
60,0,20,8,7
104,1,1,5,2
104,1,2,2,2
104,1,3,7,8
104,1,4,2,5
104,1,5,8,5
104,1,6,7,4
104,1,7,7,8
104,1,8,4,8
104,1,9,8,7
104,1,10,8,8
104,0,11,8,3
104,0,12,3,2
104,0,13,7,2
104,0,14,7,6
104,0,15,7,2
104,0,16,2,3
104,0,17,2,2
104,0,18,2,3
104,0,19,3,5
104,0,20,2,5
109,1,1,7,5
109,1,2,4,6
