ParticipantID,ParticipantSex,SPEAKER_ID,Manipulation_Type,Long_Term_Attractive_F0,Long_Term_Attractive_VTL,Short_Term_Attractive_F0,Short_Term_Attractive_VTL
76,1,1,0,5,6,5,6
76,1,2,0,8,6,9,6
76,1,3,0,6,5,8,6
76,1,4,0,5,2,1,1
76,1,5,1,3,1,2,1
76,1,6,1,8,4,3,3
76,1,7,1,5,3,6,4
76,1,8,1,1,2,3,2
21,1,1,0,5,5,5,5
21,1,2,0,5,5,5,5
21,1,3,0,4,3,5,5
21,1,4,0,5,4,5,5
21,1,5,1,5,3,5,5
21,1,6,1,5,5,5,5
21,1,7,1,6,5,5,5
21,1,8,1,3,3,5,5
71,1,1,0,1,3,5,6
71,1,2,0,7,2,3,2
71,1,3,0,3,6,8,7
71,1,4,0,7,5,8,7
71,1,5,1,4,2,5,2
71,1,6,1,1,2,2,2
71,1,7,1,8,6,7,6
71,1,8,1,6,6,6,6
87,1,1,0,3,4,5,5
87,1,2,0,7,3,6,3
87,1,3,0,4,5,6,4
87,1,4,0,3,2,2,2
87,1,5,1,5,5,6,3
87,1,6,1,6,5,4,5
87,1,7,1,5,5,5,5
87,1,8,1,3,3,5,4
5,1,1,0,6,6,6,7
5,1,2,0,6,6,5,6
5,1,3,0,5,6,7,5
5,1,4,0,6,5,6,5
5,1,5,1,6,7,7,7
5,1,6,1,5,6,4,4
5,1,7,1,5,4,5,7
5,1,8,1,4,4,5,6
30,1,1,0,4,3,5,5
30,1,2,0,7,5,7,3
30,1,3,0,8,3,8,6
30,1,4,0,7,3,5,5
30,1,5,1,6,4,5,2
30,1,6,1,7,4,7,8
30,1,7,1,6,5,8,2
30,1,8,1,3,4,3,6
37,1,1,0,2,2,6,3
37,1,2,0,8,4,9,4
37,1,3,0,7,5,7,7
37,1,4,0,6,4,7,5
37,1,5,1,3,1,2,1
37,1,6,1,2,3,6,1
37,1,7,1,6,2,9,1
37,1,8,1,3,3,6,6
2,1,1,0,6,4,6,3
2,1,2,0,3,4,7,2
2,1,3,0,7,5,9,6
2,1,4,0,7,6,8,7
2,1,5,1,4,1,5,1
2,1,6,1,3,4,2,5
2,1,7,1,3,5,7,6
2,1,8,1,6,1,4,4
20,1,1,0,3,1,5,3
