ParticipantID,SPEAKER_ID,Manipulation_Type,Physical_Dominance_F0,Physical_Dominance_VTL,Social_Dominance_F0,Social_Dominance_VTL
28,1,0,2,6,4,3
28,2,0,2,3,3,5
28,3,0,3,2,9,3
28,4,0,2,2,4,2
28,5,1,7,2,3,2
28,6,1,6,2,4,4
28,7,1,3,6,2,3
28,8,1,5,5,4,2
86,1,0,5,6,9,7
86,2,0,8,8,8,9
86,3,0,7,9,5,9
86,4,0,7,6,8,8
86,5,1,4,8,5,7
86,6,1,6,9,9,7
86,7,1,7,9,5,9
86,8,1,9,7,8,8
54,1,0,8,1,6,1
54,2,0,6,3,3,4
54,3,0,9,2,7,5
54,4,0,7,7,7,4
54,5,1,2,2,4,2
54,6,1,3,5,6,1
54,7,1,7,6,7,1
54,8,1,1,4,3,4
13,1,0,9,1,9,1
13,2,0,5,2,3,1
13,3,0,8,2,7,2
13,4,0,8,7,8,7
13,5,1,9,3,4,7
13,6,1,1,1,2,3
13,7,1,9,6,2,3
13,8,1,8,8,9,7
82,1,0,8,2,3,3
82,2,0,7,2,7,2
82,3,0,8,4,8,7
82,4,0,8,6,8,6
82,5,1,7,4,7,3
82,6,1,5,3,8,3
82,7,1,7,4,7,3
82,8,1,8,3,8,3
79,1,0,9,8,7,6
79,2,0,1,5,9,1
79,3,0,9,7,9,7
79,4,0,8,8,8,6
79,5,1,1,5,8,1
79,6,1,2,1,1,1
79,7,1,9,8,7,1
79,8,1,7,1,7,1
49,1,0,9,9,9,7
49,2,0,9,9,9,8
49,3,0,9,9,9,8
49,4,0,9,9,9,9
49,5,1,1,1,1,2
49,6,1,1,1,3,1
49,7,1,9,1,9,1
49,8,1,9,1,7,1
42,1,0,6,8,4,3
42,2,0,3,3,3,2
42,3,0,7,9,9,9
42,4,0,8,9,8,4
42,5,1,2,2,7,7
42,6,1,2,1,1,3
42,7,1,7,2,8,7
42,8,1,8,5,9,7
69,1,0,7,6,6,8
69,2,0,3,4,5,8
69,3,0,7,7,3,8
69,4,0,7,6,8,7
69,5,1,5,8,6,6
69,6,1,6,6,4,9
69,7,1,6,7,2,8
69,8,1,6,7,6,9
72,1,0,2,1,2,1
72,2,0,7,6,7,2
72,3,0,7,7,8,1
72,4,0,9,6,6,6
72,5,1,2,2,6,3
72,6,1,1,1,6,1
72,7,1,6,4,8,6
72,8,1,6,2,7,1
25,1,0,6,1,5,2
25,2,0,4,2,3,2
25,3,0,8,4,9,8
25,4,0,7,3,8,5
25,5,1,5,2,3,2
25,6,1,2,3,3,2
25,7,1,3,3,8,4
25,8,1,7,3,8,6
64,1,0,8,9,7,1
64,2,0,6,1,8,9
64,3,0,7,6,9,1
64,4,0,6,9,8,2
64,5,1,8,3,6,1
64,6,1,2,1,2,2
64,7,1,8,4,7,4
64,8,1,6,2,7,9
60,1,0,3,6,6,4
60,2,0,4,6,7,5
60,3,0,5,4,8,3
60,4,0,8,2,7,7
60,5,1,5,1,6,3
60,6,1,1,2,2,2
60,7,1,6,1,8,4
60,8,1,6,2,8,4
